Price,Close,High,Low,Open,Volume,Year,Month,Day,Change%,5MA,30MA,Price Movement,PastClose1,PastClose2,PastClose3,RSI14,12EMA,26EMA,MACD,SignalLine
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
1986-01-29,-0.47211040079500877,-0.47227467671462825,-0.4720989411469985,-0.4723240472173308,0.8149747146917528,1986,1,29,6.18041146136766,-0.47221606665853555,-0.4723631709115402,0,-0.472189749429043,-0.4721870005280629,-0.4721488336435485,0.2807868718461356,-0.4723248569392392,-0.4724491303907062,-0.1487816079122158,-0.15565079102849236
1986-01-30,-0.47215358075137687,-0.472334564271369,-0.4720378225117828,-0.4722375802394926,-0.237599387168477,1986,1,30,-2.127517840458675,-0.47221606665853555,-0.47235762157599137,1,-0.4720946492562093,-0.47217834836694367,-0.47218347644823766,-0.08497658088587995,-0.47232526236738115,-0.4724472805770036,-0.14889000472553662,-0.1558082695553068
1986-01-31,-0.4721449449699752,-0.47235167529463146,-0.4720378227897635,-0.4722721610787257,-0.5037345093981103,1986,1,31,0.5434448981818966,-0.47220914065803493,-0.472355576745094,1,-0.47213786940518954,-0.4720831580737029,-0.472174815822234,-0.13875617245795288,-0.4723242692265538,-0.47244492004241706,-0.148955321747034,-0.15594816203971
1986-02-03,-0.47209312893238836,-0.4723003430287072,-0.47203782275492606,-0.4722635158470294,0.1000666521135821,1986,2,3,3.2430235743675326,-0.4721849073923301,-0.47235236375949796,0,-0.4721292255854608,-0.47212641917967935,-0.4720795323991002,0.06461868494416097,-0.47231541149541395,-0.47243884779632006,-0.14881870112943305,-0.15603098182330974
1986-02-04,-0.4721017653134242,-0.4722746771843068,-0.4719767202935893,-0.4722116453362636,-0.16807400984649296,1986,2,4,-0.523529357076118,-0.4721641356397518,-0.4723491507637631,0,-0.4720773613166557,-0.4721177671687504,-0.47212283582979314,-0.2506116112974971,-0.4723092527803308,-0.4724338731353281,-0.14875984226115982,-0.15608470329083537
1986-02-05,-0.4721017653134242,-0.4723088986650523,-0.47199417824615736,-0.4722202905315672,-0.3561267852375902,1986,2,5,0.0,-0.4721624050183815,-0.4723447695981213,1,-0.4720860057365767,-0.4720658537514645,-0.47211417535412664,-0.5667139747139978,-0.4723040415598758,-0.47242926696774296,-0.1487290890554438,-0.1561211313798488
1986-02-06,-0.4720758567699509,-0.4722832321241233,-0.4719854487270367,-0.4722202900491216,-0.5439790066556432,1986,2,6,1.57884680749785,-0.4721468284947192,-0.4723392202473642,0,-0.4720860057365767,-0.4720745063631545,-0.47206221114709285,-0.13129478310008152,-0.4722956232938576,-0.4724230586754398,-0.1486202401210549,-0.15612709379852066
1986-02-07,-0.47208449330089525,-0.4722917879097289,-0.4719941782312985,-0.4721943550459813,-0.5583520413904766,1986,2,7,-0.5181045346149135,-0.4721347134841834,-0.4723339629580942,0,-0.47206007307700587,-0.4720745063631545,-0.47207087222410815,-0.13130153123951327,-0.4722898364570724,-0.4724179580569828,-0.1485854019392625,-0.15612444472757772
1986-02-10,-0.47209312893238836,-0.47226612154122716,-0.47197671996718926,-0.4722029999297248,-0.6107634796793568,1986,2,10,-0.5207958838676421,-0.4721347134841834,-0.4723304579059416,0,-0.472068717646975,-0.4720485491288456,-0.47207087222410815,-0.25806244539139556,-0.47228627607508356,-0.472413882994992,-0.14860894291833515,-0.15612733866764322
1986-02-11,-0.47209312893238836,-0.4723003430287072,-0.4719941779231929,-0.47221164501129725,-0.48655371904065836,1986,2,11,0.0,-0.47213298268255577,-0.4723266608125796,1,-0.4720773613166557,-0.47205720189072586,-0.47204488959441104,0.09053789430791238,-0.4722832634441699,-0.472410109789445,-0.1486444676482072,-0.15613721903022787
1986-02-12,-0.47208449330089525,-0.4723003433371097,-0.47197672027857235,-0.47221164532131266,-0.5474552755217424,1986,2,12,0.5235223668051052,-0.4721295212295149,-0.4723219876260062,0,-0.4720773613166557,-0.4720658537514645,-0.47205355082176353,0.4057759442653958,-0.47227937812272125,-0.47240596834772824,-0.14865548988166705,-0.1561474705729548
1986-02-13,-0.47209312893238836,-0.4723003430287072,-0.47197671996718926,-0.4722029999297248,-0.6181171253576436,1986,2,13,-0.5207958838676421,-0.4721329827125986,-0.47231819053264423,0,-0.472068717646975,-0.4720658537514645,-0.47206221114709285,0.5977740637260298,-0.4722774267152479,-0.4724027814123489,-0.1487141626625196,-0.15616816653802557
1986-02-14,-0.4721017653134242,-0.4722917879246795,-0.4719767202935893,-0.4722116453362636,-0.5341518619764782,1986,2,14,-0.523529357076118,-0.4721364441656395,-0.4723149775369093,1,-0.4720773613166557,-0.47205720189072586,-0.47206221114709285,0.9291080632592063,-0.472277111812498,-0.4724004783353548,-0.1488095027641677,-0.15620502657329438
1986-02-18,-0.47209312893238836,-0.4723003430287072,-0.47201163587919653,-0.47222029020830214,-0.5025311855598451,1986,2,18,0.5262846115191917,-0.4721364441656395,-0.47231118044354736,1,-0.4720860057365767,-0.4720658537514645,-0.47205355082176353,0.9291107910530524,-0.472275509068136,-0.47239769806755866,-0.1488655052443083,-0.15624644067537738
1986-02-19,-0.4720154058504136,-0.4721976794398091,-0.47196799176538634,-0.47221164583775727,0.12887957290759663,1986,2,19,4.71172926232999,-0.4721208678222345,-0.47230650778419736,1,-0.4720773613166557,-0.4720745063631545,-0.47206221114709285,0.8174753761296335,-0.47226212697878367,-0.47238929396972595,-0.1486221499735073,-0.1562277479498134
1986-02-20,-0.4720067691695607,-0.4722062341217549,-0.4718981593499735,-0.47213383894135436,-0.5329485381382131,1986,2,20,0.4999653529677967,-0.47210529126852924,-0.4723012509917341,1,-0.4719995658887605,-0.4720658537514645,-0.47207087222410815,1.6013102325216226,-0.4722494673378295,-0.47238086458607237,-0.14841492674328693,-0.15616866430322865
1986-02-21,-0.4719981326386163,-0.47218056747256953,-0.4718807009190521,-0.4721251933887959,-0.38026011332724047,1986,2,21,0.49748477717440465,-0.47208625323174014,-0.47229511754334985,1,-0.4719909211687433,-0.4719879846017724,-0.47206221114709285,1.6013136286152791,-0.47223741902256117,-0.47237241180086587,-0.14823837419146674,-0.15608379943013292
1986-02-24,-0.4719635889133755,-0.4721805677533705,-0.471889430118666,-0.47211654846831236,-0.20704833194141287,1986,2,24,1.9800752507117758,-0.47205856154732756,-0.47228810849349145,1,-0.4719822765987742,-0.47197933168970185,-0.471984265813734,1.5167942046390397,-0.47222187941984123,-0.47236199412643576,-0.14798740230152235,-0.15596246151835946
1986-02-25,-0.4719203935164275,-0.47213777564308873,-0.47188070131056253,-0.4720819680234486,-0.2738328049651264,1986,2,25,2.4279086413836786,-0.472023943952543,-0.47228022280292037,0,-0.4719477007196669,-0.4719706789278216,-0.47197560443604425,1.8709499895716446,-0.4722020469967351,-0.4723491081741265,-0.1476474359065252,-0.15579299324640009
1986-02-26,-0.4719463166010295,-0.47211210915165536,-0.4718195979778121,-0.4720387263704259,-0.4529275028935834,1986,2,26,-1.4225555302237811,-0.47201009790003634,-0.47227379783041123,0,-0.4719044651157345,-0.47193607028334483,-0.4719669432086917,1.409661153171304,-0.4721892767373491,-0.4723391211498064,-0.14750964144165984,-0.15562807444688828
1986-02-27,-0.4719722254443199,-0.47215490217108474,-0.4718545146805392,-0.4720646781104593,-0.621860799521135,1986,2,27,-1.4422240603343537,-0.47200317505404044,-0.4722697092382716,0,-0.471930412329969,-0.4718927937077705,-0.47193230070467695,0.8748670841804341,-0.4721824799514305,-0.47233181724987094,-0.14753175887150297,-0.1555008494505022
1986-02-28,-0.4720154058504136,-0.47217201339416137,-0.47189816009287316,-0.4720906140637222,-0.5711206443409563,1986,2,28,-2.4388722103958522,-0.4720066367474245,-0.47226854107343413,0,-0.47195634528963604,-0.4719187655105357,-0.47188898178925137,0.43913224145637275,-0.472183410033879,-0.4723282932126077,-0.14774588577993114,-0.15544466910041993
1986-03-03,-0.47204131379425274,-0.4722233454963674,-0.4719243468526991,-0.472133839576928,-0.6197884084663452,1986,3,3,-1.4999094103609234,-0.4720222134513443,-0.4722670808724567,0,-0.4719995658887605,-0.4719447230452251,-0.4719149790016579,0.255657758128867,-0.47218820570572706,-0.47232697349248176,-0.14804102935243832,-0.15546257746613934
1986-03-04,-0.47204131379425274,-0.4722319008073527,-0.4719243468526991,-0.4721597750410883,-0.6786175738926393,1986,3,4,0.0,-0.47204644686726377,-0.4722653286404089,1,-0.47202549794813903,-0.4719879846017724,-0.47194096193202945,0.255657758128867,-0.4721922635819062,-0.4723257515294022,-0.1482958200864644,-0.1555311634184339
1986-03-05,-0.4719981326386163,-0.472197678219707,-0.4719418037189212,-0.4721597739528168,-0.4162261258264976,1986,3,5,2.5379131908009067,-0.4720568312263863,-0.47226240818269005,1,-0.47202549794813903,-0.4720139412353202,-0.471984265813734,0.4844216569728583,-0.47218901584447226,-0.47232138119283795,-0.1483486469508836,-0.1555972819871655
1986-03-06,-0.4719894974568488,-0.47218056823936383,-0.4718807016824182,-0.47211654894986976,-0.6421167507985978,1986,3,6,0.49501550785967763,-0.4720602926794272,-0.47225773550813166,0,-0.4719822765987742,-0.4720139412353202,-0.4720102478420823,0.6202330227571234,-0.4721849316563223,-0.47231668688576384,-0.14837659790771532,-0.15565612917095867
1986-03-07,-0.4720326765137657,-0.4722062335147601,-0.47190688766500466,-0.47210790296972976,-0.6574925553986519,1986,3,7,-2.462899026447621,-0.4720637538620819,-0.4722536468906448,0,-0.47197363337923776,-0.4719706789278216,-0.4720102478420823,0.30136704032072587,-0.4721881568050507,-0.47231557903698923,-0.14858566221624517,-0.15574772845311838
1986-03-10,-0.47204131379425274,-0.4722404562325718,-0.4719156179368174,-0.4721511298478907,-0.7192631790962608,1986,3,10,-0.5050219317780176,-0.4720637538620819,-0.47224897369900193,1,-0.4720168526279295,-0.47196202751765376,-0.4719669432086917,0.17734344673662075,-0.4721922222044108,-0.4723152011076499,-0.14880029831824626,-0.15586671596178756
1986-03-11,-0.4720240417817238,-0.47224045621353034,-0.47192434683356405,-0.4721597750220404,-0.636969198823797,1986,3,11,1.0151639208436871,-0.472060292409041,-0.4722425482448945,0,-0.47202549794813903,-0.47200528772248856,-0.47195828333437406,-0.2678145567553323,-0.4721929896973125,-0.47231355565110167,-0.14891638458496734,-0.1559866272558604
1986-03-12,-0.4720326765137657,-0.47222334426323376,-0.47190688766500466,-0.4721424835364511,-0.6888458265178927,1986,3,12,-0.5024776004203826,-0.4720672152850798,-0.4722367068326502,0,-0.4720082098585373,-0.4720139412353202,-0.4720015858630437,-0.414077154512144,-0.4721949751474271,-0.4723126797456354,-0.14905439584475458,-0.15611194664087993
1986-03-13,-0.4720326765137657,-0.4722318995803536,-0.4719330745479787,-0.47215112862041525,-0.5984628359993135,1986,3,13,0.0,-0.4720758687224031,-0.47223407843134907,1,-0.4720168526279295,-0.47199663676289155,-0.4720102478420823,-0.49491321743715594,-0.47219665514367776,-0.47231186872205555,-0.1491745288808683,-0.15623778522055728
1986-03-14,-0.4719376809695363,-0.472146330958103,-0.47190688807621084,-0.4721511290276719,0.20402046147481787,1986,3,14,5.555200790621566,-0.47205683083582856,-0.4722267773504202,0,-0.4720168526279295,-0.47200528772248856,-0.47199292643973767,-0.0045324019997860935,-0.4721833782279329,-0.47230399244278976,-0.14891091879086768,-0.1562823186882805
1986-03-17,-0.4719463166010295,-0.4721634567011067,-0.47186324293535964,-0.47206467731946233,-0.5902401231045019,1986,3,17,0.0,-0.47203779261878204,-0.47222006033670166,1,-0.4719217686602884,-0.47200528772248856,-0.4720015858630437,-0.4035124112613412,-0.4721734800868242,-0.4722973473244947,-0.14875151292616917,-0.1562839989995059
1986-03-18,-0.4718858497911867,-0.4720778883755638,-0.47182832771217476,-0.47206467801233865,-0.20036319950660672,1986,3,18,3.366045338834482,-0.47201009780990766,-0.4722130507798976,0,-0.471930412329969,-0.471910113649797,-0.4720015858630437,0.2491283540990705,-0.47215574884053546,-0.4722866590027199,-0.14840760463038588,-0.15621210585383855
