,open,high,low,close,volume
2025-02-13 14:19:00,242.0039,242.0300,241.8700,241.8800,47428
2025-02-13 14:18:00,242.0000,242.0300,241.9210,242.0120,52569
2025-02-13 14:17:00,241.9500,242.0700,241.9300,242.0000,184920
2025-02-13 14:16:00,241.6700,241.9900,241.6700,241.9532,115175
2025-02-13 14:15:00,241.7850,241.8042,241.6050,241.6500,50307
2025-02-13 14:14:00,241.7700,241.8398,241.6850,241.7850,45974
2025-02-13 14:13:00,241.7401,241.8699,241.7300,241.7450,81807
2025-02-13 14:12:00,241.7300,241.8900,241.7000,241.7423,84860
2025-02-13 14:11:00,241.7100,241.7900,241.6700,241.7350,78713
2025-02-13 14:10:00,241.6700,241.7800,241.6700,241.7099,71946
2025-02-13 14:09:00,241.6700,241.6900,241.6000,241.6602,50435
2025-02-13 14:08:00,241.6200,241.7400,241.6000,241.6600,81016
2025-02-13 14:07:00,241.5500,241.6500,241.5500,241.6123,42774
2025-02-13 14:06:00,241.4100,241.6253,241.4100,241.5550,41922
2025-02-13 14:05:00,241.5957,241.6100,241.4000,241.4024,46851
2025-02-13 14:04:00,241.4500,241.6400,241.4400,241.5900,43772
2025-02-13 14:03:00,241.3900,241.5267,241.3900,241.4450,62039
2025-02-13 14:02:00,241.5750,241.5750,241.3900,241.4000,64687
2025-02-13 14:01:00,241.5000,241.6400,241.4900,241.5750,60794
2025-02-13 14:00:00,241.5850,241.6100,241.4100,241.5050,62139
2025-02-13 13:59:00,241.5023,241.6000,241.4800,241.5900,61568
2025-02-13 13:58:00,241.4100,241.5600,241.4100,241.5100,84051
2025-02-13 13:57:00,241.2800,241.4500,241.2150,241.3894,66555
2025-02-13 13:56:00,241.1800,241.2800,241.1800,241.2750,17541
2025-02-13 13:55:00,241.3000,241.3400,241.1700,241.1700,35192
2025-02-13 13:54:00,241.1600,241.3600,241.1500,241.2800,71675
2025-02-13 13:53:00,241.0600,241.2300,237.0000,241.1500,168497
2025-02-13 13:52:00,241.0799,241.1800,240.8400,241.0500,159215
2025-02-13 13:51:00,241.1500,241.1898,241.0100,241.0555,29238
2025-02-13 13:50:00,241.1500,241.2350,241.0900,241.1500,38700
2025-02-13 13:49:00,241.1700,241.2200,241.1001,241.1532,56489
2025-02-13 13:48:00,241.0100,241.1850,241.0100,241.1850,29998
2025-02-13 13:47:00,240.9900,241.1300,240.9134,241.0150,62264
2025-02-13 13:46:00,240.9900,241.1900,240.9600,241.0050,79014
2025-02-13 13:45:00,240.9800,241.0600,240.8000,241.0000,46104
2025-02-13 13:44:00,240.8000,241.1400,240.7600,241.0000,98885
2025-02-13 13:43:00,240.8700,240.9259,240.5300,240.8400,92272
2025-02-13 13:42:00,240.7100,240.8440,240.5500,240.8300,50612
2025-02-13 13:41:00,240.7100,240.8700,240.5605,240.6917,75290
2025-02-13 13:40:00,241.0500,241.0914,240.5600,240.7000,121870
2025-02-13 13:39:00,240.9150,241.0300,240.8500,241.0200,61040
2025-02-13 13:38:00,240.9700,240.9999,240.9100,240.9149,28728
2025-02-13 13:37:00,241.0200,241.0600,240.8900,240.9700,51020
2025-02-13 13:36:00,241.0150,241.0699,240.9803,241.0000,35620
2025-02-13 13:35:00,241.0000,241.0500,240.9600,241.0150,52856
2025-02-13 13:34:00,240.9477,241.0391,240.9250,241.0100,28354
2025-02-13 13:33:00,241.1000,241.1100,240.9000,240.9400,45112
2025-02-13 13:32:00,241.1900,241.1900,241.0700,241.0900,28983
2025-02-13 13:31:00,241.1100,241.1800,241.0900,241.1800,41828
2025-02-13 13:30:00,241.0400,241.1550,241.0300,241.1001,43598
2025-02-13 13:29:00,241.1800,241.1800,241.0198,241.0300,27991
2025-02-13 13:28:00,241.0400,241.1997,241.0300,241.1750,38019
2025-02-13 13:27:00,241.1900,241.2100,241.0400,241.0500,56965
2025-02-13 13:26:00,241.1613,241.3500,241.1600,241.1827,65587
2025-02-13 13:25:00,241.1400,241.1800,241.0500,241.1450,46290
2025-02-13 13:24:00,240.9880,241.2200,240.9880,241.1550,43801
2025-02-13 13:23:00,240.8350,241.0500,240.8200,240.9900,30434
2025-02-13 13:22:00,240.9900,241.0299,240.8200,240.8400,25021
2025-02-13 13:21:00,240.7400,241.0200,240.7300,240.9979,44474
2025-02-13 13:20:00,240.6300,240.7999,240.4950,240.7200,50987
2025-02-13 13:19:00,240.8750,240.9200,240.3000,240.6300,146330
2025-02-13 13:18:00,241.0200,241.0600,240.8793,240.8793,31479
2025-02-13 13:17:00,241.1400,241.1553,240.9700,241.0000,50780
2025-02-13 13:16:00,241.0794,241.1493,240.9700,241.1493,45616
2025-02-13 13:15:00,241.1700,241.2000,241.0400,241.0800,44799
2025-02-13 13:14:00,241.2098,241.2199,241.0750,241.1800,44645
2025-02-13 13:13:00,241.2950,241.3090,241.1810,241.2000,48801
2025-02-13 13:12:00,241.2700,241.3200,241.2200,241.3092,47493
2025-02-13 13:11:00,241.2700,241.3500,241.1600,241.2600,55625
2025-02-13 13:10:00,241.1300,241.3000,241.0600,241.2900,62169
2025-02-13 13:09:00,241.0000,241.1668,240.9500,241.1416,68742
2025-02-13 13:08:00,241.0400,241.0400,240.9001,240.9900,32552
2025-02-13 13:07:00,241.0600,241.0600,240.9000,241.0321,59091
2025-02-13 13:06:00,241.1747,241.1747,241.0000,241.0666,61682
2025-02-13 13:05:00,241.1300,241.2700,241.1150,241.1500,89266
2025-02-13 13:04:00,240.9184,241.1400,240.8900,241.1400,48892
2025-02-13 13:03:00,241.0000,241.0000,240.8300,240.9270,37734
